"","sampling","resource_supply","ammonia","density_dependence","production","recalcitrance","handling_time","generalism","uptake_factor","efficiency","sign"
"30","random","uniform","decrease","inter","parallel",TRUE,"flat","tradeoff",1,"increase","-"
"31","random","uniform","decrease","inter","parallel",TRUE,"increase","random",1,"flat","-"
"32","random","uniform","decrease","inter","parallel",TRUE,"increase","random",1,"increase","-"
"33","random","uniform","decrease","inter","parallel",TRUE,"increase","specialists",1,"flat","+"
"34","random","uniform","decrease","inter","parallel",TRUE,"increase","specialists",1,"increase","+-"
"35","random","uniform","decrease","inter","parallel",TRUE,"increase","tradeoff",1,"flat","+-"
"36","random","uniform","decrease","inter","parallel",TRUE,"increase","tradeoff",1,"increase","+-"
"37","random","uniform","decrease","inter","serial",TRUE,"decrease","random",1,"flat","-"
"38","random","uniform","decrease","inter","serial",TRUE,"decrease","random",1,"increase","-"
"39","random","uniform","decrease","inter","serial",TRUE,"decrease","specialists",1,"flat","+"
"40","random","uniform","decrease","inter","serial",TRUE,"decrease","specialists",1,"increase","+"
"41","random","uniform","decrease","inter","serial",TRUE,"decrease","tradeoff",1,"flat","-"
"42","random","uniform","decrease","inter","serial",TRUE,"decrease","tradeoff",1,"increase","-"
"43","random","uniform","decrease","inter","serial",TRUE,"flat","random",1,"flat","-"
"44","random","uniform","decrease","inter","serial",TRUE,"flat","random",1,"increase","-"
"45","random","uniform","decrease","inter","serial",TRUE,"flat","specialists",1,"flat","+"
"46","random","uniform","decrease","inter","serial",TRUE,"flat","specialists",1,"increase","+"
"47","random","uniform","decrease","inter","serial",TRUE,"flat","tradeoff",1,"flat","+-"
"48","random","uniform","decrease","inter","serial",TRUE,"flat","tradeoff",1,"increase","-"
"49","random","uniform","decrease","inter","serial",TRUE,"increase","random",1,"flat","-"
"50","random","uniform","decrease","inter","serial",TRUE,"increase","random",1,"increase","-"
"51","random","uniform","decrease","inter","serial",TRUE,"increase","specialists",1,"flat","+"
"52","random","uniform","decrease","inter","serial",TRUE,"increase","specialists",1,"increase","+-"
"53","random","uniform","decrease","inter","serial",TRUE,"increase","tradeoff",1,"flat","+-"
"54","random","uniform","decrease","inter","serial",TRUE,"increase","tradeoff",1,"increase","+-"
"55","random","uniform","decrease","intra","off",TRUE,"decrease","random",1,"flat","+"
"56","random","uniform","decrease","intra","off",TRUE,"decrease","random",1,"increase","+"
"57","random","uniform","decrease","intra","off",TRUE,"decrease","specialists",1,"flat","+"
"58","random","uniform","decrease","intra","off",TRUE,"decrease","specialists",1,"increase","+"
"59","random","uniform","decrease","intra","off",TRUE,"decrease","tradeoff",1,"flat","+"
"60","random","uniform","decrease","intra","off",TRUE,"decrease","tradeoff",1,"increase","+"
"61","random","uniform","decrease","intra","off",TRUE,"flat","random",1,"flat","+"
"62","random","uniform","decrease","intra","off",TRUE,"flat","random",1,"increase","+"
"63","random","uniform","decrease","intra","off",TRUE,"flat","specialists",1,"flat","+"
"64","random","uniform","decrease","intra","off",TRUE,"flat","specialists",1,"increase","+-"
"65","random","uniform","decrease","intra","off",TRUE,"flat","tradeoff",1,"flat","+"
"66","random","uniform","decrease","intra","off",TRUE,"flat","tradeoff",1,"increase","+"
"67","random","uniform","decrease","intra","off",TRUE,"increase","random",1,"flat","+"
"68","random","uniform","decrease","intra","off",TRUE,"increase","random",1,"increase","+"
"69","random","uniform","decrease","intra","off",TRUE,"increase","specialists",1,"flat","+"
"70","random","uniform","decrease","intra","off",TRUE,"increase","specialists",1,"increase","+-"
"71","random","uniform","decrease","intra","off",TRUE,"increase","tradeoff",1,"flat","+"
"72","random","uniform","decrease","intra","off",TRUE,"increase","tradeoff",1,"increase","+"
"73","random","uniform","decrease","intra","parallel",TRUE,"decrease","random",1,"flat","+"
"74","random","uniform","decrease","intra","parallel",TRUE,"decrease","random",1,"increase","+"
"75","random","uniform","decrease","intra","parallel",TRUE,"decrease","specialists",1,"flat","+"
"76","random","uniform","decrease","intra","parallel",TRUE,"decrease","specialists",1,"increase","+-"
"77","random","uniform","decrease","intra","parallel",TRUE,"decrease","tradeoff",1,"flat","+"
"78","random","uniform","decrease","intra","parallel",TRUE,"decrease","tradeoff",1,"increase","-"
"79","random","uniform","decrease","intra","parallel",TRUE,"flat","random",1,"flat","+"
"80","random","uniform","decrease","intra","parallel",TRUE,"flat","random",1,"increase","+"
"81","random","uniform","decrease","intra","parallel",TRUE,"flat","specialists",1,"flat","+"
"82","random","uniform","decrease","intra","parallel",TRUE,"flat","specialists",1,"increase","+-"
"83","random","uniform","decrease","intra","parallel",TRUE,"flat","tradeoff",1,"flat","+"
"84","random","uniform","decrease","intra","parallel",TRUE,"flat","tradeoff",1,"increase","+"
"85","random","uniform","decrease","intra","parallel",TRUE,"increase","random",1,"flat","+"
"86","random","uniform","decrease","intra","parallel",TRUE,"increase","random",1,"increase","+"
"87","random","uniform","decrease","intra","parallel",TRUE,"increase","specialists",1,"flat","+"
"88","random","uniform","decrease","intra","parallel",TRUE,"increase","specialists",1,"increase","+-"
"89","random","uniform","decrease","intra","parallel",TRUE,"increase","tradeoff",1,"flat","+"
"90","random","uniform","decrease","intra","parallel",TRUE,"increase","tradeoff",1,"increase","+"
"91","random","uniform","decrease","intra","serial",TRUE,"decrease","random",1,"flat","+"
"92","random","uniform","decrease","intra","serial",TRUE,"decrease","random",1,"increase","+"
"93","random","uniform","decrease","intra","serial",TRUE,"decrease","specialists",1,"flat","+"
"94","random","uniform","decrease","intra","serial",TRUE,"decrease","specialists",1,"increase","+"
"95","random","uniform","decrease","intra","serial",TRUE,"decrease","tradeoff",1,"flat","+"
"96","random","uniform","decrease","intra","serial",TRUE,"decrease","tradeoff",1,"increase","+"
"97","random","uniform","decrease","intra","serial",TRUE,"flat","random",1,"flat","+"
"98","random","uniform","decrease","intra","serial",TRUE,"flat","random",1,"increase","+"
"99","random","uniform","decrease","intra","serial",TRUE,"flat","specialists",1,"flat","+"
"100","random","uniform","decrease","intra","serial",TRUE,"flat","specialists",1,"increase","+"
"101","random","uniform","decrease","intra","serial",TRUE,"flat","tradeoff",1,"flat","+"
"102","random","uniform","decrease","intra","serial",TRUE,"flat","tradeoff",1,"increase","+"
"103","random","uniform","decrease","intra","serial",TRUE,"increase","random",1,"flat","+"
"104","random","uniform","decrease","intra","serial",TRUE,"increase","random",1,"increase","+"
"105","random","uniform","decrease","intra","serial",TRUE,"increase","specialists",1,"flat","+"
"106","random","uniform","decrease","intra","serial",TRUE,"increase","specialists",1,"increase","+-"
"107","random","uniform","decrease","intra","serial",TRUE,"increase","tradeoff",1,"flat","+"
"108","random","uniform","decrease","intra","serial",TRUE,"increase","tradeoff",1,"increase","+"
"109","random","uniform","decrease","neutral","off",TRUE,"decrease","random",1,"flat","0"
"110","random","uniform","decrease","neutral","off",TRUE,"decrease","random",1,"increase","-"
"111","random","uniform","decrease","neutral","off",TRUE,"decrease","specialists",1,"flat","+"
"112","random","uniform","decrease","neutral","off",TRUE,"decrease","specialists",1,"increase","+-"
"113","random","uniform","decrease","neutral","off",TRUE,"decrease","tradeoff",1,"flat","+"
"114","random","uniform","decrease","neutral","off",TRUE,"decrease","tradeoff",1,"increase","-"
"115","random","uniform","decrease","neutral","off",TRUE,"flat","random",1,"flat","0"
"116","random","uniform","decrease","neutral","off",TRUE,"flat","random",1,"increase","0"
"117","random","uniform","decrease","neutral","off",TRUE,"flat","specialists",1,"flat","+"
"118","random","uniform","decrease","neutral","off",TRUE,"flat","specialists",1,"increase","+-"
"119","random","uniform","decrease","neutral","off",TRUE,"flat","tradeoff",1,"flat","+"
"120","random","uniform","decrease","neutral","off",TRUE,"flat","tradeoff",1,"increase","+-"
"121","random","uniform","decrease","neutral","off",TRUE,"increase","random",1,"flat","0"
"122","random","uniform","decrease","neutral","off",TRUE,"increase","random",1,"increase","0"
"123","random","uniform","decrease","neutral","off",TRUE,"increase","specialists",1,"flat","+"
"124","random","uniform","decrease","neutral","off",TRUE,"increase","specialists",1,"increase","+-"
"125","random","uniform","decrease","neutral","off",TRUE,"increase","tradeoff",1,"flat","+"
"126","random","uniform","decrease","neutral","off",TRUE,"increase","tradeoff",1,"increase","+"
"127","random","uniform","decrease","neutral","parallel",TRUE,"decrease","random",1,"flat","0"
"128","random","uniform","decrease","neutral","parallel",TRUE,"decrease","random",1,"increase","-"
"129","random","uniform","decrease","neutral","parallel",TRUE,"decrease","specialists",1,"flat","+"
"130","random","uniform","decrease","neutral","parallel",TRUE,"decrease","specialists",1,"increase","+-"
"131","random","uniform","decrease","neutral","parallel",TRUE,"decrease","tradeoff",1,"flat","+"
"132","random","uniform","decrease","neutral","parallel",TRUE,"decrease","tradeoff",1,"increase","-"
"133","random","uniform","decrease","neutral","parallel",TRUE,"flat","random",1,"flat","0"
"134","random","uniform","decrease","neutral","parallel",TRUE,"flat","random",1,"increase","0"
"135","random","uniform","decrease","neutral","parallel",TRUE,"flat","specialists",1,"flat","+"
"136","random","uniform","decrease","neutral","parallel",TRUE,"flat","specialists",1,"increase","+-"
"137","random","uniform","decrease","neutral","parallel",TRUE,"flat","tradeoff",1,"flat","+"
"138","random","uniform","decrease","neutral","parallel",TRUE,"flat","tradeoff",1,"increase","+-"
"139","random","uniform","decrease","neutral","parallel",TRUE,"increase","random",1,"flat","0"
"140","random","uniform","decrease","neutral","parallel",TRUE,"increase","random",1,"increase","-"
"141","random","uniform","decrease","neutral","parallel",TRUE,"increase","specialists",1,"flat","+"
"142","random","uniform","decrease","neutral","parallel",TRUE,"increase","specialists",1,"increase","+-"
"143","random","uniform","decrease","neutral","parallel",TRUE,"increase","tradeoff",1,"flat","+"
"144","random","uniform","decrease","neutral","parallel",TRUE,"increase","tradeoff",1,"increase","+"
"145","random","uniform","decrease","neutral","serial",TRUE,"decrease","random",1,"flat","0"
"146","random","uniform","decrease","neutral","serial",TRUE,"decrease","random",1,"increase","-"
"147","random","uniform","decrease","neutral","serial",TRUE,"decrease","specialists",1,"flat","+"
"148","random","uniform","decrease","neutral","serial",TRUE,"decrease","specialists",1,"increase","+"
"149","random","uniform","decrease","neutral","serial",TRUE,"decrease","tradeoff",1,"flat","+"
"150","random","uniform","decrease","neutral","serial",TRUE,"decrease","tradeoff",1,"increase","-"
"151","random","uniform","decrease","neutral","serial",TRUE,"flat","random",1,"flat","0"
"152","random","uniform","decrease","neutral","serial",TRUE,"flat","random",1,"increase","0"
"153","random","uniform","decrease","neutral","serial",TRUE,"flat","specialists",1,"flat","+"
"154","random","uniform","decrease","neutral","serial",TRUE,"flat","specialists",1,"increase","+"
"155","random","uniform","decrease","neutral","serial",TRUE,"flat","tradeoff",1,"flat","+"
"156","random","uniform","decrease","neutral","serial",TRUE,"flat","tradeoff",1,"increase","+-"
"157","random","uniform","decrease","neutral","serial",TRUE,"increase","random",1,"flat","0"
"158","random","uniform","decrease","neutral","serial",TRUE,"increase","random",1,"increase","0"
"159","random","uniform","decrease","neutral","serial",TRUE,"increase","specialists",1,"flat","+"
"160","random","uniform","decrease","neutral","serial",TRUE,"increase","specialists",1,"increase","+-"
"161","random","uniform","decrease","neutral","serial",TRUE,"increase","tradeoff",1,"flat","+"
"162","random","uniform","decrease","neutral","serial",TRUE,"increase","tradeoff",1,"increase","+"
"163","random","uniform","decrease","none","off",TRUE,"decrease","random",1,"flat","0"
"164","random","uniform","decrease","none","off",TRUE,"decrease","random",1,"increase","0"
"165","random","uniform","decrease","none","off",TRUE,"decrease","specialists",1,"flat","+"
"166","random","uniform","decrease","none","off",TRUE,"decrease","specialists",1,"increase","+"
"167","random","uniform","decrease","none","off",TRUE,"decrease","tradeoff",1,"flat","+"
"168","random","uniform","decrease","none","off",TRUE,"decrease","tradeoff",1,"increase","+"
"169","random","uniform","decrease","none","off",TRUE,"flat","random",1,"flat","0"
"170","random","uniform","decrease","none","off",TRUE,"flat","random",1,"increase","0"
"171","random","uniform","decrease","none","off",TRUE,"flat","specialists",1,"flat","+"
"172","random","uniform","decrease","none","off",TRUE,"flat","specialists",1,"increase","+"
"173","random","uniform","decrease","none","off",TRUE,"flat","tradeoff",1,"flat","+"
"174","random","uniform","decrease","none","off",TRUE,"flat","tradeoff",1,"increase","+"
"175","random","uniform","decrease","none","off",TRUE,"increase","random",1,"flat","0"
"176","random","uniform","decrease","none","off",TRUE,"increase","random",1,"increase","0"
"177","random","uniform","decrease","none","off",TRUE,"increase","specialists",1,"flat","+"
"178","random","uniform","decrease","none","off",TRUE,"increase","specialists",1,"increase","+"
"179","random","uniform","decrease","none","off",TRUE,"increase","tradeoff",1,"flat","+"
"180","random","uniform","decrease","none","off",TRUE,"increase","tradeoff",1,"increase","+"
"181","random","uniform","decrease","none","parallel",TRUE,"decrease","random",1,"flat","0"
"182","random","uniform","decrease","none","parallel",TRUE,"decrease","random",1,"increase","0"
"183","random","uniform","decrease","none","parallel",TRUE,"decrease","specialists",1,"flat","+"
"184","random","uniform","decrease","none","parallel",TRUE,"decrease","specialists",1,"increase","+"
"185","random","uniform","decrease","none","parallel",TRUE,"decrease","tradeoff",1,"flat","+"
"186","random","uniform","decrease","none","parallel",TRUE,"decrease","tradeoff",1,"increase","+"
"187","random","uniform","decrease","none","parallel",TRUE,"flat","random",1,"flat","0"
"188","random","uniform","decrease","none","parallel",TRUE,"flat","random",1,"increase","0"
"189","random","uniform","decrease","none","parallel",TRUE,"flat","specialists",1,"flat","+"
"190","random","uniform","decrease","none","parallel",TRUE,"flat","specialists",1,"increase","+"
"191","random","uniform","decrease","none","parallel",TRUE,"flat","tradeoff",1,"flat","+"
"192","random","uniform","decrease","none","parallel",TRUE,"flat","tradeoff",1,"increase","+"
"193","random","uniform","decrease","none","parallel",TRUE,"increase","random",1,"flat","0"
"194","random","uniform","decrease","none","parallel",TRUE,"increase","random",1,"increase","0"
"195","random","uniform","decrease","none","parallel",TRUE,"increase","specialists",1,"flat","+"
"196","random","uniform","decrease","none","parallel",TRUE,"increase","specialists",1,"increase","+"
"197","random","uniform","decrease","none","parallel",TRUE,"increase","tradeoff",1,"flat","+"
"198","random","uniform","decrease","none","parallel",TRUE,"increase","tradeoff",1,"increase","+"
"199","random","uniform","decrease","none","serial",TRUE,"decrease","random",1,"flat","0"
"200","random","uniform","decrease","none","serial",TRUE,"decrease","random",1,"increase","0"
"201","random","uniform","decrease","none","serial",TRUE,"decrease","specialists",1,"flat","+"
"202","random","uniform","decrease","none","serial",TRUE,"decrease","specialists",1,"increase","+"
"203","random","uniform","decrease","none","serial",TRUE,"decrease","tradeoff",1,"flat","+"
"204","random","uniform","decrease","none","serial",TRUE,"decrease","tradeoff",1,"increase","+"
"205","random","uniform","decrease","none","serial",TRUE,"flat","random",1,"flat","0"
"206","random","uniform","decrease","none","serial",TRUE,"flat","random",1,"increase","0"
"207","random","uniform","decrease","none","serial",TRUE,"flat","specialists",1,"flat","+"
"208","random","uniform","decrease","none","serial",TRUE,"flat","specialists",1,"increase","+"
"209","random","uniform","decrease","none","serial",TRUE,"flat","tradeoff",1,"flat","+"
"210","random","uniform","decrease","none","serial",TRUE,"flat","tradeoff",1,"increase","+"
"211","random","uniform","decrease","none","serial",TRUE,"increase","random",1,"flat","0"
"212","random","uniform","decrease","none","serial",TRUE,"increase","random",1,"increase","0"
"213","random","uniform","decrease","none","serial",TRUE,"increase","specialists",1,"flat","+"
"214","random","uniform","decrease","none","serial",TRUE,"increase","specialists",1,"increase","+"
"215","random","uniform","decrease","none","serial",TRUE,"increase","tradeoff",1,"flat","+"
"216","random","uniform","decrease","none","serial",TRUE,"increase","tradeoff",1,"increase","+"
